Problem: falling metrics
Problem Type: Execution
Firm: Amazon
**Interviewer:** ...   default   experience.   30%   were   running   in   this,   this   new   variant.   Um,   average   order   value,   uh,   for   the   customers   in,   in   the   30%   percent,   um,   was   actually   up,   uh,   about   one   and   a   half   percent.   Uh,   and   the,   uh,   number   of   orders   placed   relative   to   control,   um,   was   down   about   21%.  
**Candidate:** Oof.   Whoops.   (laughs)  
**Interviewer:** (laughs)  
**Candidate:** Yeah.   So   clearly,   um,   this   is   a   problem.  
**Interviewer:** (laughs)  
**Candidate:** Uh.  
**Interviewer:** I   would   agree.   (laughs)  
**Candidate:** Uh,   so   first   of   all,   I   mean,   just   in   general,   I'd   be   pretty,   you   know,   it's...   What   it   sounds   like   to   me   is   that   this,   um,   this   change   was   more   oriented   around   brand-  
**Interviewer:** Mm-hmm.  
**Candidate:** ...   than   it   was   around,   um,   improve,   uh,   business   improvement.  
**Interviewer:** Yeah.  
**Candidate:** And   that,   uh,   that   the   rest   of   the   brand   had,   um,   changed   its,   um,   color   palette   and   layout,   uh,   before,   uh,   before   this   one,   and   that   we   wanted   to,   um,   make   this   one,   um,   match   that.And   that's   okay.   That's   important.   Uh,   brand   value   is   important   and   it's   much   harder   to   A-D   test,   but   it's   important.  
**Interviewer:** Yeah.  
**Candidate:** Um,   it   is   not   to   my,   uh,   in   my   mind   an   acceptable   thing   to   do,   to   compromise,   uh,   financial   performance,   um,   for,   uh,   pr-   uh,   for   improving   the   consistency   of   a   brand,   uh,   to   this   level.   And   I   think   it   was,   to   be   honest,   kind   of   careless   to   have   dialed   this   experiment   all   the   way   up   to   30%   when   you   didn't   have   a   hypothesis   about,   um...   or   when   the   initiating   hypothesis   for   doing   it   was   not   growing   revenue.   Um,   my   hunch,   based   on   the   fact   that   average   order   value   is   up,   but   the   total   number   of   orders   is   down,   is,   um,   either   customers   are...   E-   probab-   either   or   both   customers   are   just   getting   confused   and   exiting   the   app   because   they're   confused,   or,   um,   we're   asking   them   to   do   a   lot   more   work,   um,   in   order   to,   like,   select   which   products   they're   keeping   and,   and   not   keeping.  
**Interviewer:** Mm-hmm.  
**Candidate:** And,   and   either   making   them   do   it   or,   or   something   like   that.  
**Interviewer:** Yeah.  
**Candidate:** And   so   the   folks   who   do   decide   to   do   it   are   buying   more,   but   way,   way   more   folks   are   just   choosing   not   to   buy.   And,   and   that's   a   pretty   unacceptable   outcome.   So   I'd   immediately   dial   this   experiment   down   and   go   back   to   the   drawing   board   with   the   design   and   orient   the   design   first   around,   um,   um,   (laughs)   around...   certainly   acknowledging   the   color   palette   and   layout   specifications   that   we   want   to   consider,   but   orienting   the   experiment   around   growing   or   at   least   maintaining   our,   our,   um,   our,   our   order   levels.  
**Interviewer:** Got   it.   Okay.   Sounds   good.   Well,   I   think   you   did   a   good   job   at   identifying   (laughs)   the   driver   of   our-  
**Candidate:** (laughs)  
**Interviewer:** ...   of   our   decline   here.   And,   uh,   I   agree   with   the   recommendations   that,   you   know,   brand   is   important,   but   we   need   to   make   sure   that   it,   uh,   you   know,   can   be,   uh,   holistically   sort   of   incorporated   without,   you   know,   driving   a   material   decline   in,   in   our,   uh,   business   metrics.  
**Candidate:** Cool.   Thank   you.  
**Interviewer:** Sounds   good.
